distance,height
-35.72072160534208,2.6937048849003706
-35.62072160534208,2.687465426318253
-35.520721605342075,2.6812754569238675
-35.420721605342074,2.675134230273293
-35.32072160534207,2.669041006609799
-35.22072160534207,2.6629950528306026
-35.12072160534207,2.6569956424536953
-35.02072160534207,2.6510420555847434
-34.92072160534207,2.6451335788840638
-34.820721605342065,2.639269505533669
-34.720721605342064,2.6334491352043883
-34.62072160534206,2.627671774023061
-34.52072160534206,2.6219367345398
-34.42072160534206,2.6162433356953305
-34.32072160534206,2.6105909027884033
-34.22072160534206,2.604978767443278
-34.120721605342055,2.5994062675772778
-34.020721605342054,2.593872747368424
-33.92072160534205,2.588377557223135
-33.82072160534205,2.5829200537440045
-33.72072160534205,2.57749959969765
-33.62072160534205,2.5721155639826314
-33.52072160534205,2.5667673215974505
-33.420721605342045,2.561454253608613
-33.320721605342044,2.5561757471187745
-33.22072160534204,2.5509311952349485
-33.12072160534204,2.545719997036796
-33.02072160534204,2.540541557544981
-32.92072160534204,2.5353952876896075
-32.82072160534204,2.5302806042787176
-32.720721605342035,2.5251969299668766
-32.620721605342034,2.520143693223816
-32.52072160534203,2.5151203283031633
-32.42072160534203,2.5101262752112348
-32.32072160534203,2.5051609796759045
-32.22072160534203,2.5002238931155483
-32.12072160534203,2.495314472608058
-32.020721605342025,2.490432180859929
-31.920721605342024,2.485576486175422
-31.820721605342023,2.4807468624257947
-31.72072160534202,2.4759427890186094
-31.62072160534202,2.471163750867115
-31.52072160534202,2.4664092383596943
-31.420721605342017,2.461678747329394
-31.320721605342015,2.4569717790235193
-31.220721605342014,2.4522878400733084
-31.120721605342013,2.447626442463673
-31.02072160534201,2.4429871035030164
-30.92072160534201,2.438369345793124
-30.82072160534201,2.433772697199127
-30.720721605342007,2.4291966908195333
-30.620721605342005,2.4246408649563413
-30.520721605342004,2.420104763085217
-30.420721605342003,2.415587933825751
-30.320721605342,2.4110899309117846
-30.220721605342,2.4066103131618095
-30.120721605342,2.40214864444944
-30.020721605341997,2.3977044936739613
-29.920721605341996,2.3932774347309453
-29.820721605341994,2.388867046482944
-29.720721605341993,2.384472912730252
-29.62072160534199,2.380094622181747
-29.52072160534199,2.3757317684257973
-29.42072160534199,2.3713839499012455
-29.320721605341987,2.367050769868464
-29.220721605341986,2.362731836380487
-29.120721605341984,2.358426762254208
-29.020721605341983,2.3541351650416567
-28.92072160534198,2.349856667001348
-28.82072160534198,2.3455908950696984
-28.72072160534198,2.3413374808325234
-28.620721605341977,2.3370960604966027
-28.520721605341976,2.332866274861317
-28.420721605341974,2.328647769290363
-28.320721605341973,2.324440193683538
-28.22072160534197,2.3202432024485953
-28.12072160534197,2.316056454473178
-28.02072160534197,2.3118796130968207
-27.920721605341967,2.3077123460830267
-27.820721605341966,2.3035543255914175
-27.720721605341964,2.2994052281499537
-27.620721605341963,2.2952647346272346
-27.52072160534196,2.291132530204859
-27.42072160534196,2.2870083043498726
-27.32072160534196,2.28289175078728
-27.220721605341957,2.27878256747263
-27.120721605341956,2.2746804565646763
-27.020721605341954,2.270585124398111
-26.920721605341953,2.266496281456368
-26.82072160534195,2.2624136423445043
-26.72072160534195,2.258336925762147
-26.62072160534195,2.2542658544765217
-26.520721605341947,2.2502001552955475
-26.420721605341946,2.2461395590410067
-26.320721605341944,2.2420838005217885
-26.220721605341943,2.2380326185072033
-26.12072160534194,2.2339857557003735
-26.02072160534194,2.2299429587116935
-25.92072160534194,2.2259039780323637
-25.820721605341937,2.2218685680079986
-25.720721605341936,2.2178364868123084
-25.620721605341934,2.213807496420848
-25.520721605341933,2.2097813625848475
-25.42072160534193,2.205757854805108
-25.32072160534193,2.201736746305975
-25.22072160534193,2.197717814009382
-25.120721605341927,2.1937008385089682
-25.020721605341926,2.1896856040442696
-24.920721605341924,2.185671898474982
-24.820721605341923,2.181659513255298
-24.72072160534192,2.177648243408313
-24.62072160534192,2.173637887500511
-24.52072160534192,2.169628247616319
-24.420721605341917,2.165619129332731
-24.320721605341916,2.1616103416940144
-24.220721605341915,2.1576016971864775
-24.120721605341913,2.1535930117133235
-24.02072160534191,2.1495841045695605
-23.92072160534191,2.1455747984170017
-23.82072160534191,2.1415649192593276
-23.720721605341907,2.137554296417223
-23.620721605341906,2.133542762503589
-23.520721605341905,2.1295301533988282
-23.420721605341903,2.125516308226198
-23.3207216053419,2.121501069327244
-23.2207216053419,2.1174842822372995
-23.1207216053419,2.113465795661064
-23.020721605341897,2.109445461448247
-22.920721605341896,2.1054231345692944
-22.820721605341895,2.10139867309118
-22.720721605341893,2.0973719381532687
-22.620721605341892,2.093342793943265
-22.52072160534189,2.08931110767322
-22.42072160534189,2.0852767495556166
-22.320721605341888,2.0812395927795295
-22.220721605341886,2.0771995134868573
-22.120721605341885,2.0731563907486272
-22.020721605341883,2.06911010654137
-21.920721605341882,2.0650605457235716
-21.82072160534188,2.061007596012196
-21.72072160534188,2.0569511479592824
-21.620721605341878,2.05289109492861
-21.520721605341876,2.048827333072445
-21.420721605341875,2.0447597613083515
-21.320721605341873,2.04068828129608
-21.220721605341872,2.036612797414529
-21.12072160534187,2.0325332167387753
-21.02072160534187,2.0284494490171836
-20.920721605341868,2.0243614066485844
-20.820721605341866,2.0202690046595237
-20.720721605341865,2.0161721606815917
-20.620721605341863,2.012070794928817
-20.520721605341862,2.00796483017514
-20.42072160534186,2.0038541917319552
-20.32072160534186,1.999738807425726
-20.220721605341858,1.995618607575678
-20.120721605341856,1.991493524971558
-20.020721605341855,1.9873634948514693
-19.920721605341853,1.9832284548797816
