,Run,Qb,Hs,Tp,Eig,Esw,Hbar
0,20180614-1830,0.0,0.5425003078124999,12.035015625000003,0.016924385530853254,0.001937419514231339,1.77371517546875
1,20180614-1830,0.11940298507462686,0.5588580313432837,11.85720895522388,0.016942563953083994,0.0018005853741070127,1.5647727579270834
2,20180614-1830,0.34375,0.5855832890624999,12.002999999999998,0.016392452133062965,0.0015371771626744041,1.4171752994791667
3,20180614-1830,0.5151515151515151,0.5576208681818181,11.659136363636362,0.014458802243600407,0.0014693742962988501,1.3509574641979167
4,20180614-1830,0.8666666666666667,0.44641014800000006,11.242639999999996,0.00880059848371307,0.0023876167635053804,0.7832792828124999
5,20180614-1830,0.9041095890410958,0.31992853150684936,11.861383561643835,0.005730813152675835,0.001688703043972828,0.5327805411875001
6,20180614-1830,0.8666666666666667,0.15029078499999998,13.821850000000001,0.0010777080816765706,0.0020077137695442273,0.32424996856250005
7,20180614-1830,0.0,0.5214827123076923,11.405769230769229,0.016804993897245792,0.0019251201500964734,1.886895235
8,20180614-1830,0.0,0.5013030904761903,11.94047619047619,0.014719773248930978,0.0017764799435726025,2.1398744002291665
9,20180614-1830,0.0,0.4820025890625001,11.783203125,0.0139642003561398,0.001687924410871281,2.2626660734583335
10,20180614-1830,0.0,0.50324562,12.09375,0.013197488128043201,0.0016404484731883356,2.426836141166667
11,20180614-1830,0.0,0.5201984421052633,12.131578947368421,0.014004794804134312,0.0014831255412482858,2.2899185997083333
12,20180614-1830,0.0,0.5267544053571429,11.678571428571427,0.015249772334957569,0.0012638967705061513,2.1694858950833336
13,20180614-1830,0.0,0.535263894736842,12.217105263157894,0.014746180156400134,0.0011378077682035017,2.236791296083333
14,20180614-1900,0.0,0.536129124590164,12.30737704918033,0.017338189017564516,0.0008141105834681227,1.8911643288229167
15,20180614-1900,0.0,0.5417031476190477,12.261809523809523,0.016924556680423947,0.0010719549003039648,1.6811224377708334
16,20180614-1900,0.14516129032258066,0.5599121322580645,11.79140322580645,0.017006078860949268,0.0013577700765496456,1.5333106240625
17,20180614-1900,0.14516129032258066,0.5547273677419355,12.124016129032258,0.015645087882329024,0.0016751207290745833,1.4687837579687497
18,20180614-1900,0.8648648648648649,0.47550037297297293,10.981337837837838,0.010169760144934144,0.001111913772630427,0.8961431549479167
19,20180614-1900,0.9333333333333333,0.38848166399999995,11.025040000000002,0.008078901623052406,0.0011416412868669615,0.6423822084479167
20,20180614-1900,0.85,0.201508065,13.162499999999998,0.0020731500280652005,0.001695758716054865,0.42883646796875
21,20180614-1900,0.0,0.5111448711864407,11.961864406779661,0.017024901006938098,0.0007361605460571062,2.00328658075
22,20180614-1900,0.0,0.4771544741379311,12.562500000000002,0.014317173882746068,0.0006088944116001657,2.2598855176666666
23,20180614-1900,0.0,0.4734452250000001,12.25,0.01364005542154232,0.000596314924795974,2.3856813739791662
24,20180614-1900,0.0,0.4551877965517242,12.504310344827587,0.013133769506181423,0.0006283672560645947,2.547529772479167
25,20180614-1900,0.0,0.47829438947368424,12.69078947368421,0.01417404638231825,0.0006544929292402707,2.407213521270833
26,20180614-1900,0.0,0.4737306421052631,12.651315789473683,0.014523835456174887,0.0006711953057265557,2.2870978508541664
27,20180614-1900,0.0,0.4471900293103449,12.38146551724138,0.013790012748873011,0.0007142092225755374,2.3628112188958337
28,20180614-1930,0.0,0.5286897155172414,12.682034482758624,0.015296344941037529,0.0012150543313504403,2.0324942411666664
29,20180614-1930,0.0,0.5344635915254237,12.43230508474576,0.014789642544214058,0.0012058385865614126,1.8232593786041669
30,20180614-1930,0.0,0.5438211711864407,12.41933898305085,0.014876578169964636,0.001171523106369067,1.6748272381874998
31,20180614-1930,0.03333333333333333,0.5633507950000002,12.1375,0.014419092949700249,0.0010948816110976033,1.6088304874374997
32,20180614-1930,0.8615384615384616,0.5396879169230769,11.97683076923077,0.012376948775560344,0.0013690678274032165,1.0356343005833333
33,20180614-1930,0.9104477611940298,0.4622730850746269,11.781761194029851,0.010023931555709228,0.0017438591741223445,0.780004686125
34,20180614-1930,0.9180327868852459,0.22581752950819678,12.86975409836066,0.0020150323414167164,0.0016525479766563334,0.5868091660729167
35,20180614-1930,0.0,0.5031293593220338,12.425847457627118,0.014307576993786998,0.0012199221120043013,2.145301301104167
36,20180614-1930,0.0,0.47647188500000015,11.887500000000001,0.012004929452561935,0.0010834501270047545,2.4031014432708333
37,20180614-1930,0.0,0.4706158603448277,12.355603448275863,0.011799046057257663,0.0011168400214155748,2.536913202166667
38,20180614-1930,0.0,0.46703568947368435,12.907894736842104,0.011611973233520182,0.0011474603603554602,2.6894836054374998
39,20180614-1930,0.0,0.4719409157894737,12.32236842105263,0.011743676542390195,0.0010704410668491164,2.5485933717708336
40,20180614-1930,0.0,0.48022217368421044,12.493421052631579,0.012221126364896744,0.0009425712955586111,2.4298120677708335
41,20180614-1930,0.0,0.457016555357143,12.488839285714285,0.012179483299759564,0.0008785177757582544,2.505597768729167
42,20180614-2000,0.0,0.5402976103448277,12.426672413793105,0.015995192280948693,0.0009565314451200032,2.0977531409166668
43,20180614-2000,0.0,0.5759510999999999,12.957157894736843,0.016509410608448783,0.0011582318604431215,1.8886978349374999
44,20180614-2000,0.0,0.5858633892857144,12.897321428571427,0.016463080796171637,0.0013027866612095706,1.7407423184479163
45,20180614-2000,0.0,0.5760761517857143,13.044803571428567,0.01575987020093048,0.0014590657199032469,1.67454060928125
46,20180614-2000,0.7571428571428571,0.57515778,11.233971428571428,0.012738159545465508,0.001659749904532609,1.10029021071875
